ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
1877,Plaza Usina del Arte,Pza. Usina del Arte,Plaza,PLAZA,No informado,CAFFARENA y DON PEDRO DE MENDOZA,La Boca,4,NO,1186.6886116422015,1209.1304798112387,-34.6292623915,-58.3561158784,-34.6292623915,-58.3561158784,Centroide geométrico,0,0.00,0,15,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1878,Parque Elefante Blanco,Pque. Elefante Blanco,Parque,PARQUE,No informado,VILLA 15 MANZANA 27 BIS: PIEDRA BUENA AV - PASAJE DE LA ROSA - CAÑADA DE GÓMEZ - HUBAC,Villa Lugano,8,SI,3512.454361324932,1377.3878259767457,-34.6710726815,-58.4931861661,-34.6710726815,-58.4931861661,Centroide geométrico,0,0.00,0,32,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
1880,No informado,No informado,Plaza,PLAZA,No informado,VILLA 15 MANZANA 4,Villa Lugano,8,NO,1597.3475549142904,162.2036230839663,-34.6690985422,-58.4929484024,-34.6690985422,-58.4929484024,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1894,Plaza Los Pibes de Zavaleta,Pza. Los Pibes de Zavaleta,Plaza,PLAZA,No informado,AV AMANCIO ALCORTA 3080,Barracas,4,SI,535.0508924014919,370.0200504131818,-34.6490837137,-58.4040000127,-34.6490837137,-58.4040000127,Centroide geométrico,0,0.00,1,7,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1910,Plaza San Blas (denominación propuesta),Pza. San Blas,Plaza,PLAZA,No informado,ZAVALETA y OSVALDO CRUZ AV,Barracas,4,NO,158.88402352465783,190.01882361343374,-34.6569644085,-58.3992875159,-34.6569259727,-58.3993039947,Punto representativo interno del componente principal,1,4.52,0,7,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1939,Plaza La Jaulita,Pza. La Jaulita,Plaza,PLAZA,No informado,AV LACARRA - BATLLE Y ORDOÑEZ - PASAJE LA JAULITA,Villa Soldati,8,SI,23.373270920109736,49.85709681622391,-34.6612849043,-58.4544382592,-34.6612553706,-58.4544351594,Punto representativo interno del componente principal,1,3.29,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1940,Plaza Mondonguito,Pza. Mondonguito,Plaza,PLAZA,No informado,AV LACARRA y BARROS PAZOS JOSE,Villa Soldati,8,SI,459.77766915650136,236.27750031097474,-34.6639255593,-58.4509864330,-34.6639255593,-58.4509864330,Centroide geométrico,0,0.00,0,9,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1950,No informado,No informado,Plaza,PLAZA,No informado,MANZANA 30 - VILLA 20 - BARRIO PAPA FRANCISCO,Villa Lugano,8,NO,2964.258322296823,852.2512171500143,-34.6717077558,-58.4615637829,-34.6717077558,-58.4615637829,Centroide geométrico,0,0.00,0,12,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1954,Plaza Bailecito,Pza. Bailecito,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,159.71205433737165,53.6703427626054,-34.5793317745,-58.3840182187,-34.5793317745,-58.3840182187,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1955,Plaza Ranchera,Pza. Ranchera,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,2154.146283767559,188.0157645789551,-34.5798895179,-58.3832643885,-34.5798895179,-58.3832643885,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1956,Plaza Rumba,Pza. Rumba,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,914.1094453990462,161.88058298612464,-34.5805015349,-58.3820151269,-34.5805015349,-58.3820151269,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1957,Plaza Folklore,Pza. Folklore,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,919.0713693259522,162.24331305874216,-34.5812107842,-58.3808070502,-34.5812107842,-58.3808070502,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1958,No informado,No informado,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,603.8426078867902,528.7029529241017,-34.5814865582,-58.3871530135,-34.5813003623,-58.3876576770,Punto representativo interno del componente principal,1,50.69,0,27,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1959,Plaza Huayno,Pza. Huayno,Plaza,PLAZA,No informado,BARRIO 31 MUGICA,Retiro,1,No informado,179.03061590226963,58.50653494672076,-34.5796564082,-58.3906441509,-34.5796564082,-58.3906441509,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
