ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
6,Polideportivo Colegiales,Polidep. Colegiales,Parque,PARQUE,No informado,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",Colegiales,13,NO,4686.363924099199,518.4493433990593,-34.5803110909,-58.4447190469,-34.5803110909,-58.4447190469,Centroide geométrico,0,0.00,1,3,1,Polideportivo Colegiales: confirmar proporción de espacio verde y acceso familiar,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
9,Plaza Rafael Hernández,Pza. Rafael Hernández,Plaza,PLAZA,No informado,"ECHEVERRIA - VUELTA DE OBLIGADO - MOM, POLICARPO",Belgrano,13,SI,559.0223647520776,110.23557175400153,-34.5623120757,-58.4551880709,-34.5623120757,-58.4551880709,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
10,Plaza Pques. Nacionales Argentinos,Pza. Pques. Nacionales Argentinos,Plaza,PLAZA,No informado,"ECHEVERRIA - CASTAÑEDA - SUCRE, ANTONIO J. DE, MCAL. - FIGUEROA ALCORTA PRES., AV.",Belgrano,13,NO,12170.747459362827,436.4721894177015,-34.5524659253,-58.4369918730,-34.5524659253,-58.4369918730,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
26,Plaza Barrio Marcelo T de Alvear,Pza. Barrio Marcelo T de Alvear,Plaza,PLAZA,No informado,"DIRECTORIO, AV. - OLIVERA, AV. - RODO, JOSE E. - FERNANDEZ (BARRIO MARCELO T. DE ALVEAR)",Parque Avellaneda,9,NO,36224.06433209898,4957.031090284299,-34.6434351249,-58.4838540849,-34.6434351249,-58.4838540849,Centroide geométrico,0,0.00,0,27,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
53,Plaza Tupac Amarú,Pza. Tupac Amarú,Plaza,PLAZA,No informado,"SAN PEDRITO, AV. - PERON, EVA, AV. - PRIMERA JUNTA (D) - LAFUENTE, AV.",Flores,7,SI,1964.6887491747004,446.2159891133753,-34.6423486914,-58.4622471050,-34.6423728216,-58.4619242116,Punto representativo interno del componente principal,1,29.72,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
70,Plaza Irlanda,Pza. Irlanda,Plaza,PLAZA,No informado,"GAONA, AV. - ALVAREZ, DONATO, TTE. GRAL., AV. - NEUQUEN - SEGUI, F.J., ALMTE.",Caballito,6,SI,37603.00460489184,5076.73764982689,-34.6140425377,-58.4575097991,-34.6146059084,-58.4578158834,Punto representativo interno del componente principal,1,68.50,0,18,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
107,Plaza Alemania,Pza. Alemania,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - CASARES, AV. - CASTEX - CAVIA",Palermo,14,SI,24955.93333897485,3328.6728480595275,-34.5764806763,-58.4090309834,-34.5767644015,-58.4082664077,Punto representativo interno del componente principal,1,76.88,0,29,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
117,Plaza Brig. Gral. J. M. Zapiola,Pza. Brig. Gral. J. M. Zapiola,Plaza,PLAZA,No informado,"ACHA, MARIANO - JURAMENTO - DONADO - ECHEVERRIA",Villa Urquiza,12,SI,5378.668755020476,2095.567693925374,-34.5732736603,-58.4754653460,-34.5736061093,-58.4751701361,Punto representativo interno del componente principal,1,45.75,0,28,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
160,Ing. Agr. Benito J. Carrasco,Pque. Punta Carrasco,Parque,PARQUE,No informado,"OBLIGADO, RAFAEL, AV. COSTANERA (MURALLON) -SALGUERO, JERONIMO, PROLONGACION IMAGINARIA - SARMIENTO, AV., PROLONGACION IMAGINARIA - RIO DE LA PLATA",Palermo,14,SI,70716.69421384232,8836.027345549326,-34.5649504394,-58.4012610542,-34.5659937009,-58.3997236209,Punto representativo interno del componente principal,1,182.45,0,68,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
171,Parque Brig. Gral. Cornelio Saavedra,Pque. Brig. Gral. Cornelio Saavedra,Parque,PARQUE,No informado,"GARCIA DEL RIO, AV. - MELIAN, AV. - VILELA - PEREZ, ROQUE - BESARES - CONDE - PINTO - FREIRE, RAMON, CAP. GRAL.",Saavedra,12,SI,96070.01479020756,6728.181069924909,-34.5506333674,-58.4800647399,-34.5506333674,-58.4800647399,Centroide geométrico,0,0.00,1,20,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
177,Plaza de la Integración Latinoamericana,Pza. de la Integración Latinoamericana,Plaza,PLAZA,No informado,"MORENO, PERITO, AV. Y VARELA",Flores,7,SI,2296.088024589888,927.2124643363719,-34.6509288306,-58.4432777010,-34.6509288306,-58.4432777010,Centroide geométrico,0,0.00,0,23,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
180,Plaza Dr. Juan B Terán,Pza. Dr. Juan B Terán,Plaza,PLAZA,No informado,"NOGOYA - GORDILLO, JOSE, CNEL. - MELINCUE - MARTINEZ, JUAN E.",Villa Real,10,SI,15431.770703632706,2301.9991698540152,-34.6207054075,-58.5195735385,-34.6207054075,-58.5195735385,Centroide geométrico,0,0.00,0,19,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
181,Parque Florentino Ameghino,Pque. Florentino Ameghino,Parque,PARQUE,No informado,"CASEROS, AV. - SANTA CRUZ - USPALLATA - MONASTERIO",Parque Patricios,4,SI,35580.67069664748,3419.6492958598155,-34.6370004062,-58.3948760293,-34.6363250100,-58.3944887957,Punto representativo interno del componente principal,1,82.89,0,18,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
202,Plaza Nuestra Señora de la Asunción,Pza. Ntra. Sra. de la Asunción,Plaza,PLAZA,No informado,"GAONA, AV. - GAVILAN - CARACAS - VIALE, LUIS",Villa Gral. Mitre,11,SI,3670.419312165801,1175.2938300334017,-34.6162236542,-58.4665340006,-34.6159970181,-58.4664394967,Punto representativo interno del componente principal,1,26.59,0,15,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
245,Plaza J. J. Paso,Pza. J. J. Paso,Plaza,PLAZA,No informado,"OLAGUER Y FELIU, VIRREY - MOLDES - ZABALA - VIAS DEL FCGB",Colegiales,13,SI,4786.871212767716,1095.9757291789713,-34.5699274671,-58.4534415134,-34.5698448118,-58.4531563086,Punto representativo interno del componente principal,1,27.73,0,8,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
269,Plaza de la Misericordia,Pza. de la Misericordia,Plaza,PLAZA,No informado,"DIRECTORIO, AV. - LAUTARO - BILBAO, FRANCISCO - CAMACUA",Flores,7,SI,5647.261933073007,1798.752196573838,-34.6323920195,-58.4554070426,-34.6325267768,-58.4557348074,Punto representativo interno del componente principal,1,33.56,0,21,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
281,Plaza Reina de Holanda,Pza. Reina de Holanda,Plaza,PLAZA,No informado,"MANSO, JUANA - LORENZINI, CAROLA - DEALESSI, PIERINA",Puerto Madero,1,NO,1998.4246213725385,782.6445056801028,-34.6076311951,-58.3637611167,-34.6076476811,-58.3638997515,Punto representativo interno del componente principal,1,12.84,0,14,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
295,Plaza Aristóbulo del Valle,Pza. Aristóbulo del Valle,Plaza,PLAZA,No informado,"CUENCA - SASTRE, MARCOS - CAMPANA - BAIGORRIA",Villa Del Parque,11,SI,7916.725046266489,2143.304668117405,-34.6060901508,-58.4932175301,-34.6055500576,-58.4928639513,Punto representativo interno del componente principal,1,68.12,0,23,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
296,"Plaza de Las Armas ""Ejército Argentino""","Pza. de Las Armas ""Ejército Argentino""",Plaza,PLAZA,No informado,"PASEO COLON, AV. - LA RABIDA (S) - HUERGO, ING., AV. - MORENO",Monserrat,1,NO,12024.72841425104,3099.8059325477775,-34.6095058917,-58.3688772813,-34.6102302879,-58.3685403218,Punto representativo interno del componente principal,1,86.08,0,30,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
297,Plaza Mons. Miguel de Andrea,Pza. Mons. Miguel de Andrea,Plaza,PLAZA,No informado,"CORDOBA, AV. - JAURES, JEAN - ANCHORENA, TOMAS M. DE, DR. - PARAGUAY",Recoleta,2,SI,5868.030032751955,1196.9894106911956,-34.5974691077,-58.4071461149,-34.5974691077,-58.4071461149,Centroide geométrico,0,0.00,0,16,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
306,Plaza Jorge Di Pascuale,Pza. Jorge Di Pascuale,Plaza,PLAZA,No informado,"LACARRA, AV. - DELLEPIANE, LUIS J., TTE. GRAL., AV.(NORTE) - AUTOPISTA PERITO MORENO (AU 6), PERITO, AUTOPISTA (AU 6) - PERON, EVA, AV.",Parque Avellaneda,9,SI,10409.903140343322,1418.24722220848,-34.6502651458,-58.4678227401,-34.6502651458,-58.4678227401,Centroide geométrico,0,0.00,0,8,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
314,Plaza Dr. Benjamín A. Gould,Pza. Dr. Benjamín A. Gould,Plaza,PLAZA,No informado,"SARMIENTO, AV. - CASARES, AV. - ROLDAN, BELISARIO, AV. (JARDINES DEL PLANETARIO DE LA CIUDAD DE BUENOS AIRES)",Palermo,14,NO,41826.471130322854,4336.986497614119,-34.5693231508,-58.4115570925,-34.5693231508,-58.4115570925,Centroide geométrico,0,0.00,0,11,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
326,Plaza Canadá,Pza. Canadá,Plaza,PLAZA,No informado,"ANTARTIDA ARGENTINA, AV. - SAN MARTIN - MARTINEZ ZUVIRIA, GUSTAVO DR. - RAMOS MEJIA, JOSE M., DR., AV.",Retiro,1,NO,10358.491543344535,1726.7083026572468,-34.5900308146,-58.3718877214,-34.5900308146,-58.3718877214,Centroide geométrico,0,0.00,0,19,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
327,Almte. Guillermo Brown,Pque. Almte. Guillermo Brown,Parque,PARQUE,No informado,"PAZ, GRAL., AV.- ROCA, CNEL., AV. - ESCALADA, AV. - 27 DE FEBRERO - MORENO, PERITO, AV. - VEDIA, AGUSTIN DE, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - CASTAÑON - BARROS PAZOS, JOSE",Flores,7,SI,71317.32549113689,3097.669451547134,-34.6523085960,-58.4577741020,-34.6521177895,-58.4567814034,Punto representativo interno del componente principal,1,93.42,0,9,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
338,Plaza Marcos Sastre,Pza. Marcos Sastre,Plaza,PLAZA,No informado,"MONROE, AV. - MILLER - VALDENEGRO - PROPIEDAD PARTICULAR - PARALELA A ROOOSEVELT, FRANKLIN D.",Villa Urquiza,12,SI,1964.6418671023491,695.974057463016,-34.5712019144,-58.4816020744,-34.5712019144,-58.4816020744,Centroide geométrico,0,0.00,0,14,1,La ubicación menciona propiedad particular; confirmar acceso,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
352,Plaza Ciudad de Udine,Pza. Ciudad de Udine,Plaza,PLAZA,No informado,"MAGARIÑOS CERVANTES, ALEJANDRO - CAMARONES - CHIVILCOY - MERCEDES",Floresta,10,SI,3375.2795693144453,1020.7849781715954,-34.6209908103,-58.4916717523,-34.6207117671,-58.4922828003,Punto representativo interno del componente principal,1,64.01,1,17,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
361,Plaza Dr. Bernardo A. Houssay,Pza. Dr. Bernardo A. Houssay,Plaza,PLAZA,No informado,"URIBURU, JOSE E., PRES. - PARAGUAY - JUNIN - CORDOBA, AV.",Recoleta,2,NO,7223.335202659293,1642.2201690996574,-34.5991477975,-58.3983819581,-34.5989858015,-58.3981516017,Punto representativo interno del componente principal,1,27.73,0,15,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
362,Plaza Miserere,Pza. Miserere,Plaza,PLAZA,No informado,"RIVADAVIA, AV. - ECUADOR - MITRE, BARTOLOME - PUEYRREDON, AV.",Balvanera,3,NO,5839.6416937231415,2261.860186645314,-34.6094866346,-58.4078129520,-34.6097098703,-58.4075493603,Punto representativo interno del componente principal,1,34.60,0,42,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
368,Parque La Isla de la Paternal,Pque. La Isla de la Paternal,Parque,PARQUE,No informado,"CHORROARIN, AV. - GUTEMBERG - DE LOS CONSTITUYENTES, AV., - CALLE SIN DENOMINACION",Paternal,15,SI,78244.22940748312,6174.4716474523175,-34.5939714380,-58.4746150594,-34.5939714380,-58.4746150594,Centroide geométrico,0,0.00,0,18,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
371,Plaza de los Viveros,Pza. de los Viveros,Plaza,PLAZA,No informado,"ROCA, CNEL., AV. - FERRE - GORDILLO, TIMOTEO - DE LA TORRE, LISANDRO, AV.",Villa Riachuelo,8,SI,4552.0384439104,1196.8264936709356,-34.6918921447,-58.4642946511,-34.6917892629,-58.4640744562,Punto representativo interno del componente principal,1,23.18,0,8,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
372,Plaza Rubén Darío,Pza. Rubén Darío,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - AUSTRIA - FIGUEROA ALCORTA, PRES., AV. - PETTORUTI, EMILIO",Recoleta,2,SI,37089.594186936796,5414.46324874986,-34.5832095532,-58.3943641175,-34.5832095532,-58.3943641175,Centroide geométrico,0,0.00,0,24,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
390,M. Teresa Alberletche,Pza. M. Teresa Alberletche,Plaza,PLAZA,No informado,"MORENO, PERITO, AV. - MOM - RIVERA, FRUCTUOSO, GRAL.",Nueva Pompeya,4,NO,204.55710989989808,145.03804352114025,-34.6503426593,-58.4270579464,-34.6503426593,-58.4270579464,Centroide geométrico,0,0.00,0,2,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
392,Plaza Hugo Ricardo Corradi,Pza. Hugo Ricardo Corradi,Plaza,PLAZA,No informado,"YERBAL - CALDERON DE LA BARCA, PEDRO - AUTOPISTA PERITO MORENO (AU 6) (ESTE)",Villa Luro,10,NO,1105.4846493677242,172.36060598613065,-34.6356637633,-58.4971390255,-34.6356637633,-58.4971390255,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
399,Plaza Francisco Sicardi,Pza. Francisco Sicardi,Plaza,PLAZA,No informado,BALBASTRO - PROPIEDAD PARTICULAR - VARELA,Flores,7,SI,7625.05988430205,350.89493232223543,-34.6456291459,-58.4526399750,-34.6456291459,-58.4526399750,Centroide geométrico,0,0.00,0,1,1,La ubicación menciona propiedad particular; confirmar acceso,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
434,Plaza Martín Fierro,Pza. Martín Fierro,Plaza,PLAZA,No informado,"URQUIZA, GRAL. - BARCALA - LA RIOJA - POLIDEPORTIVO",San Cristobal,3,SI,9517.632298028124,1673.3267088720297,-34.6262208353,-58.4071045067,-34.6260739387,-58.4078197556,Punto representativo interno del componente principal,1,67.57,0,11,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
462,Plaza de los Olmos,Pza. de los Olmos,Plaza,PLAZA,No informado,"ECHEVERRIA - ZAPIOLA - SUCRE, ANTONIO JOSE DE, MCAL. - VIAS DEL FCGBM",Belgrano,13,SI,5433.88116763379,1666.1509235067897,-34.5676674037,-58.4620913804,-34.5676674037,-58.4620913804,Centroide geométrico,0,0.00,0,10,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
464,Plaza Libres del Sud,Pza. Libres del Sud,Plaza,PLAZA,No informado,"QUIROGA, JUAN F. BRIG. GRAL. VIA R PIDA - VIAS DEL FCGBM - ATC (EXPLANADA)",Recoleta,2,NO,15786.800881499059,1501.738957001911,-34.5803760593,-58.3939520274,-34.5803760593,-58.3939520274,Centroide geométrico,0,0.00,0,2,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
481,Plaza V. López y Planes,Pza. V. López y Planes,Plaza,PLAZA,No informado,MONTEVIDEO - PARANA - ARENALES,Recoleta,2,SI,10707.720640574094,1856.74229786404,-34.5938174636,-58.3892963742,-34.5938174636,-58.3892963742,Centroide geométrico,0,0.00,0,13,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
482,Plaza Int. Torcuato de Alvear,Pza. Int. Torcuato de Alvear,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - PUEYRREDON, AV. - CENTRO CULTURAL RECOLETA - QUINTANA, MANUEL, PRES., AV. - HAEDO, EDUARDO V., PRES.- ALVEAR, AV.",Recoleta,2,SI,19076.485672937557,2993.1537855114434,-34.5855307208,-58.3922702421,-34.5858450938,-58.3914042641,Punto representativo interno del componente principal,1,86.75,0,24,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
496,Plaza Anna Eleanor Roosevelt,Pza. Anna Eleanor Roosevelt,Plaza,PLAZA,No informado,AV PARQUE ROBERTO GOYENECHE - MANZANARES - GARCÍA DEL RÍO,Saavedra,12,SI,2974.679988846335,549.0458178500504,-34.5561592203,-58.4873845929,-34.5561592203,-58.4873845929,Centroide geométrico,0,0.00,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
499,Plaza Beatriz Guido,Pza. Beatriz Guido,Plaza,PLAZA,No informado,"PASEO COLON, AV. - COCHABAMBA - SAN JUAN AV",San Telmo,1,NO,1340.395160954994,819.051557538803,-34.6228028628,-58.3691258745,-34.6224270895,-58.3688881342,Punto representativo interno del componente principal,1,47.03,1,14,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
500,Plaza Madres del Pañuelo Blanco,Pza. Madres del Pañuelo Blanco,Plaza,PLAZA,No informado,RICARDO BALBIN AV - PARQUE ROBERTO GOYENECHE - GARCÍA DEL RÍO - HOLMBERG,Saavedra,12,NO,2332.7318397820322,441.60526420299584,-34.5553815635,-58.4878410824,-34.5553815635,-58.4878410824,Centroide geométrico,0,0.00,0,3,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
511,Plaza Fuerza Aérea Argentina,Pza. Fuerza Aérea Argentina,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - SAN MARTIN - RAMOS MEJIA, JOSE M., DR., AV. - GILARDI, GILARDO",Retiro,1,NO,12688.682686483262,2624.3425349398367,-34.5917137658,-58.3733388901,-34.5922384050,-58.3737416787,Punto representativo interno del componente principal,1,68.93,0,38,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
512,Plaza La Vuelta de Obligado,Pza. La Vuelta de Obligado,Plaza,PLAZA,No informado,"GARAY, JUAN DE, AV. - COMBATE DE LOS POZOS - PICHINCHA - BRASIL, AV.",Parque Patricios,4,SI,58047.887959305524,3223.714229749249,-34.6289177922,-58.3944779684,-34.6289177922,-58.3944779684,Centroide geométrico,0,0.00,0,20,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
520,Leonardo Pereyra,Pque. Leonardo Pereyra,Parque,PARQUE,No informado,"ALVARADO - RIO CUARTO - LUZURIAGA - VELEZ SARSFIELD, AV.",Barracas,4,SI,39739.884605193365,5023.635338824481,-34.6518870820,-58.3884583345,-34.6502189864,-58.3882310191,Punto representativo interno del componente principal,1,186.18,0,18,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
521,Plaza República del Paraguay,Pza. Rep. del Paraguay,Plaza,PLAZA,No informado,"BARRIENTOS - PEÑA - LARREA - PACHECO DE MELO, JOSE A.",Recoleta,2,SI,2060.906807115396,730.6525549601513,-34.5890936965,-58.3984001670,-34.5890936965,-58.3984001670,Centroide geométrico,0,0.00,0,21,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
560,Plaza de los Niños - Dr. Carlos Gianatonio,Pza. de los Niños - Dr. Carlos Gianatonio,Plaza,PLAZA,No informado,"OBISPO SAN ALBERTO - CONDARCO - CABEZON, JOSE L. - BOLIVIA - LADINES - ARTIGAS, JOSE G., GRAL. - VIAS DEL FCGBM",Villa Pueyrredon,12,SI,8167.642493099456,2133.5276716792227,-34.5807782546,-58.5018969008,-34.5807782546,-58.5018969008,Centroide geométrico,0,0.00,0,11,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
561,Plaza República de Chile,Pza. Rep. de Chile,Plaza,PLAZA,No informado,"DEL LIBERTADOR, AV. - TAGLE - PROPIEDAD PARTICULAR - FIGUEROA ALCORTA, PRES., AV. - CASTILLA, RAMON, MCAL.",Palermo,14,SI,25501.070788374265,2865.712649730045,-34.5808728617,-58.3993203255,-34.5813908075,-58.3999727297,Punto representativo interno del componente principal,1,82.96,0,17,1,La ubicación menciona propiedad particular; confirmar acceso,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
563,Plaza de Isidora,Pza. de Isidora,Plaza,PLAZA,No informado,CAAGUAZU ENTRE LARRAZABAL Y FONROUGE,Liniers,9,SI,2687.9845654972555,552.1511798759695,-34.6419155803,-58.5134711159,-34.6419155803,-58.5134711159,Centroide geométrico,0,0.00,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
610,Plaza Barrancas de Belgrano,Pza. Barrancas de Belgrano,Plaza,PLAZA,No informado,"VERTIZ, VIRREY, AV. - JURAMENTO - ZAVALIA -ECHEVERRIA / 11 DE SEPTIEMBRE - LA PAMPA -VERTIZ, VIRREY, AV - SUCRE, ANTONIO JOSE DE, MCAL.",Belgrano,13,SI,21096.81193066511,4351.227505817246,-34.5590478071,-58.4503290419,-34.5599653901,-58.4492140814,Punto representativo interno del componente principal,1,144.31,0,44,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
617,Plaza Jamaica,Pza. Jamaica,Plaza,PLAZA,No informado,BURELA - MOSCU - ESTOCOLMO (BARRIO PARQUE CHAS),Parque Chas,15,NO,647.7327150971913,115.98910780230206,-34.5889211757,-58.4829446369,-34.5889211757,-58.4829446369,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
625,Plaza Don Bosco,Pza. Don Bosco,Plaza,PLAZA,No informado,"LOPEZ DE VEGA - MIRANDA - CALDERON DE LA BARCA, PEDRO - GONZALEZ, ELPIDIO (EXCLUIDO HOSPITAL)",Monte Castro,10,SI,8025.485395842972,1297.0352205451711,-34.6256737510,-58.5077977585,-34.6259298145,-58.5082303815,Punto representativo interno del componente principal,1,48.79,0,10,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
626,Plaza Nicaragua,Pza. Nicaragua,Plaza,PLAZA,No informado,"PEPIRI - PAZ, JOSE C. - ELIA",Parque Patricios,4,SI,5442.012824762575,867.3688890277504,-34.6452892281,-58.4088932868,-34.6452892281,-58.4088932868,Centroide geométrico,0,0.00,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
627,Plaza Monserrat,Pza. Monserrat,Plaza,PLAZA,No informado,SAN JOSE - MEXICO - CHILE - SANTIAGO DEL ESTERO,Monserrat,1,SI,575.2393410748585,325.13808861668304,-34.6158986931,-58.3854978405,-34.6158986931,-58.3854978405,Centroide geométrico,0,0.00,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
630,Plaza Güemes,Pza. Güemes,Plaza,PLAZA,No informado,"SALGUERO, JERONIMO - MANSILLA, LUCIO NORBERTO, GRAL. - CHARCAS - MEDRANO, AV.",Palermo,14,SI,1240.6223188380613,365.0675259303255,-34.5895051433,-58.4166223648,-34.5894403092,-58.4163424021,Punto representativo interno del componente principal,1,26.67,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
633,Plaza Venezuela,Pza. Venezuela,Plaza,PLAZA,No informado,"FIGUEROA ALCORTA, PRES., AV. - AUSTRIA - VIAS DEL FCGBM - LINEA PARALELA A LA CALLETAGLE",Recoleta,2,NO,3035.157418919987,435.3466911487058,-34.5802300090,-58.3954357623,-34.5802300090,-58.3954357623,Centroide geométrico,0,0.00,0,2,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
635,Plaza Joaquín Sánchez,Pza. Joaquín Sánchez,Plaza,PLAZA,No informado,"VUELTA DE OBLIGADO - JURAMENTO - SAGASTA ISLA, JOSE MARIA",Belgrano,13,NO,151.8265935144206,81.4310004792257,-34.5619529096,-58.4558499030,-34.5618808491,-58.4557982898,Punto representativo interno del componente principal,1,9.29,0,3,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
637,Plaza de las Escuelas,Pza. de las Escuelas,Plaza,PLAZA,No informado,"LARRAZABAL, AV. - DESCALZI, NICOLAS",Villa Lugano,8,SI,2443.1838866403214,369.98839321822743,-34.6825984808,-58.4631925320,-34.6825984808,-58.4631925320,Centroide geométrico,0,0.00,0,3,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
