ID,ID_IDECABA,Tipo_Transporte,Nombre,Linea,Ramal,Direccion,Barrio,Comuna,Localidad,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Fuera_CABA,Flag_Duplicado
242,70,Tren,Sáenz Peña,San Martín,No informado,No informado,No informado,No informado,Villa Raffo,-34.60317028957033,-58.527882915278774,0,0,0
243,277,Tren,San Andrés,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.56361665300118,-58.54059444105298,1,1,0
244,111,Tren,San Antonio de Padua,Sarmiento,No informado,No informado,No informado,No informado,San Antonio de Padua,-34.665468405041864,-58.69869681639339,1,1,0
245,253,Tren,San Fernando C,Mitre,No informado,No informado,No informado,No informado,San Fernando,-34.44421527256488,-58.5587915652762,1,1,0
246,226,Tren,San Fernando R,Tren de la Costa,No informado,No informado,No informado,No informado,San Fernando,-34.437541578676885,-58.55395516874744,1,1,0
247,264,Tren,San Isidro,Mitre,No informado,No informado,No informado,No informado,San Isidro,-34.471963510899464,-58.51357494326025,1,1,0
248,184,Tren,San Isidro R,Tren de la Costa,No informado,No informado,No informado,No informado,San Isidro,-34.46531574998841,-58.50847087636146,1,1,0
249,193,Tren,San Justo,Roca,No informado,No informado,No informado,No informado,San Justo,-34.673835573096774,-58.55580981076053,1,1,0
250,278,Tren,San Martín,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.573714988569726,-58.53157906656693,0,0,0
251,21,Tren,San Miguel,San Martín,No informado,No informado,No informado,No informado,San Miguel,-34.544552541379446,-58.71258708130158,1,1,0
252,130,Tren,Sánchez de Mendeville,Belgrano Sur,No informado,No informado,No informado,No informado,Aldo Bonzi,-34.71246140229767,-58.5238654357565,1,1,0
253,17,Tren,Santa Catalina,Roca,No informado,No informado,No informado,No informado,Llavallol,-34.7803571523533,-58.43738013722768,1,1,0
254,168,Tren,Santa Sofía,Roca,No informado,No informado,No informado,No informado,Bosques,-34.8251222562673,-58.21300039775061,1,1,0
255,74,Tren,Santos Lugares,San Martín,No informado,No informado,No informado,No informado,Santos Lugares,-34.60369485523194,-58.54097594100011,1,1,0
256,162,Tren,Sarandí,Roca,No informado,No informado,No informado,No informado,Sarandí,-34.678891688735824,-58.34513866506885,0,0,0
257,94,Tren,Sargento Barrufaldi,Urquiza,No informado,No informado,No informado,No informado,Campo de Mayo,-34.56242907475212,-58.660227437790944,1,1,0
258,95,Tren,Sargento Cabral,Urquiza,No informado,No informado,No informado,No informado,Campo de Mayo,-34.537206321549675,-58.69492236222669,1,1,0
259,69,Tren,Sol y Verde,San Martín,No informado,No informado,No informado,No informado,José C. Paz,-34.50400264256276,-58.79766332658582,1,1,0
260,163,Tren,Sourigues,Roca,No informado,No informado,No informado,No informado,Sourigues,-34.8065615485445,-58.212756329812045,1,1,0
261,247,Tren,Speratti,Sarmiento,No informado,No informado,No informado,No informado,No informado,-34.999241033381985,-58.9977262793939,1,1,0
262,12,Tren,Sucre,San Martín,No informado,No informado,No informado,No informado,No informado,-34.506306744829594,-59.11135929484403,1,1,0
263,125,Tren,Tapiales,Belgrano Sur,No informado,No informado,No informado,No informado,Aldo Bonzi,-34.70248805516488,-58.51157373120266,0,0,0
264,147,Tren,Temperley,Roca,No informado,No informado,No informado,No informado,Temperley,-34.77589635726653,-58.39652973201855,1,1,0
265,96,Tren,Teniente Agneta,Urquiza,No informado,No informado,No informado,No informado,Campo de Mayo,-34.548860475933694,-58.67877445639079,1,1,0
266,28,Tren,Teniente General Pablo Ricchieri,Urquiza,No informado,No informado,No informado,No informado,Bella Vista,-34.56125525723323,-58.691368735796495,1,1,0
267,50,Tren,Tierras Altas,Belgrano Norte,No informado,No informado,No informado,No informado,Tierras Altas,-34.47898927967807,-58.73944360354839,1,1,0
268,300,Tren,Tigre,Mitre,No informado,No informado,No informado,No informado,Tigre,-34.42359703099207,-58.58167967793535,1,1,0
269,175,Tren,Tolosa,Roca,No informado,No informado,No informado,No informado,Tolosa,-34.89091073973111,-57.968191669242955,1,1,0
270,25,Tren,Toro,Urquiza,No informado,No informado,No informado,No informado,Presidente Derqui,-34.494717338974674,-58.844471987875984,1,1,0
271,31,Tren,Torres,Urquiza,No informado,No informado,No informado,No informado,No informado,-34.43278799835511,-59.12903240933492,1,1,0
272,51,Tren,Tortuguitas,Belgrano Norte,No informado,No informado,No informado,No informado,Tortuguitas,-34.47072834567622,-58.757934699971955,1,1,0
273,223,Tren,Tristán Suárez,Roca,No informado,No informado,No informado,No informado,Tristán Suárez,-34.889400931216045,-58.56790600782278,1,1,0
274,97,Tren,Tropezón,Urquiza,No informado,No informado,No informado,No informado,Caseros,-34.591920173150584,-58.559267812637216,1,1,0
275,148,Tren,Turdera,Roca,No informado,No informado,No informado,No informado,Turdera,-34.79508491911549,-58.40781609512419,1,1,0
276,236,Tren,Unión Ferroviaria,Roca,No informado,No informado,No informado,No informado,La Unión,-34.870271288799486,-58.543376965417046,1,1,0
277,119,Tren,Universidad de Luján,Sarmiento,No informado,No informado,No informado,No informado,No informado,-34.577450361829214,-59.08720391111079,1,1,0
278,210,Tren,Uribelarrea,Roca,No informado,No informado,No informado,No informado,Cañuelas,-35.11542507625092,-58.89840083443176,1,1,0
279,216,Tren,Veinte de Junio,Belgrano Sur,No informado,No informado,No informado,No informado,20 de Junio,-34.78025669337994,-58.737950557601444,1,1,0
280,52,Tren,Vicealmirante Montes,Belgrano Norte,No informado,No informado,No informado,No informado,Don Torcuato,-34.504123663698024,-58.62011022175169,1,1,0
281,3,Tren,Vicente Casares,Roca,No informado,No informado,No informado,No informado,Cañuelas,-34.96225055526161,-58.64795066412325,1,1,0
282,265,Tren,Vicente López,Mitre,No informado,No informado,No informado,No informado,Vicente López,-34.5248387009881,-58.47276400064025,0,0,0
283,266,Tren,Victoria,Mitre,No informado,No informado,No informado,No informado,Victoria,-34.45640768744954,-58.54046604344664,1,1,0
284,53,Tren,Villa Adelina,Belgrano Norte,No informado,No informado,No informado,No informado,Villa Adelina,-34.523730159393445,-58.54621392601971,1,1,0
285,71,Tren,Villa Astolfi,San Martín,No informado,No informado,No informado,No informado,Pilar,-34.47866856733365,-58.876954142315604,1,1,0
286,279,Tren,Villa Ballester,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.55098731692484,-58.556046406304475,1,1,0
287,192,Tren,Villa Caraza,Belgrano Sur,No informado,No informado,No informado,No informado,Lanús Oeste,-34.698027137082086,-58.42917869404012,0,0,0
288,55,Tren,Villa de Mayo,Belgrano Norte,No informado,No informado,No informado,No informado,Villa de Mayo,-34.50337851304764,-58.68070401951349,1,1,0
289,191,Tren,Villa Diamante,Belgrano Sur,No informado,No informado,No informado,No informado,Lanús Oeste,-34.68140511317664,-58.42833864912682,0,0,0
290,164,Tren,Villa Domínico,Roca,No informado,No informado,No informado,No informado,Villa Domínico,-34.69147003237294,-58.32543298899859,1,1,0
291,169,Tren,Villa Elisa,Roca,No informado,No informado,No informado,No informado,Villa Elisa,-34.849632100848154,-58.07515034042929,1,1,0
292,176,Tren,Villa España,Roca,No informado,No informado,No informado,No informado,Villa España,-34.774351447485735,-58.19490245052368,1,1,0
293,127,Tren,Villa Madero,Belgrano Sur,No informado,No informado,No informado,No informado,Villa Madero,-34.68407105486788,-58.492419445137315,0,0,0
294,54,Tren,Villa Rosa,Belgrano Norte,No informado,No informado,No informado,No informado,Villa Rosa,-34.41657559595767,-58.87151102322087,1,1,0
295,231,Tren,Villars,Belgrano Sur,No informado,No informado,No informado,No informado,No informado,-34.82893720074529,-58.93837703229719,1,1,0
296,267,Tren,Virreyes,Mitre,No informado,No informado,No informado,No informado,Virreyes,-34.450636768781706,-58.55071245417065,1,1,0
297,165,Tren,Wilde,Roca,No informado,No informado,No informado,No informado,Wilde,-34.69751970590955,-58.31135197185844,1,1,0
298,73,Tren,William Morris,San Martín,No informado,No informado,No informado,No informado,William C. Morris,-34.57835383904754,-58.656774323361645,1,1,0
299,238,Tren,Zamudio,Sarmiento,No informado,No informado,No informado,No informado,No informado,-34.85790064871327,-58.8922326874134,1,1,0
300,209,Tren,Zapiola,Sarmiento,No informado,No informado,No informado,No informado,No informado,-35.05841674314386,-59.042025875153,1,1,0
301,294,Tren,Zelaya,Mitre,No informado,No informado,No informado,No informado,Zelaya,-34.3701245570181,-58.8692909866509,1,1,0
