ID,Tipo_Transporte,Nombre,Corredor,Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
METROBUS_000332,Metrobus,MEXICO,No informado,159|8|86,159:V|8:I|86:I,524 PASEO COLON AV.,MONSERRAT,Comuna 1,-34.6138616,-58.3691672,0,0
METROBUS_000333,Metrobus,AV. BELGRANO,No informado,64|93|130|29,64:No informado|93:I|130:V|29:V,355 PASEO COLON AV.,MONSERRAT,Comuna 1,-34.6120453,-58.3694549,0,0
METROBUS_000334,Metrobus,MEXICO,No informado,33|143|129,33:I|143:I|129:I,567 PASEO COLON AV.,MONSERRAT,Comuna 1,-34.614499,-58.3693243,0,0
METROBUS_000335,Metrobus,CHILE,No informado,8|86|22,8:V|86:V|22:I,667 PASEO COLON AV.,MONSERRAT,Comuna 1,-34.6152798,-58.3692885,0,0
METROBUS_000336,Metrobus,CHILE,No informado,74|93|24|126,74:I|93:I|24:I|126:I,669 PASEO COLON AV.,MONSERRAT,Comuna 1,-34.6155726,-58.3692747,0,0
METROBUS_000337,Metrobus,AV. INDEPENDENCIA,No informado,64|130|29,64:V|130:V|29:V,797 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.6168527,-58.3693066,0,0
METROBUS_000338,Metrobus,OBELSCO SUR,No informado,9|67|28,9:V|67:I|28:No informado,251 CERRITO,SAN NICOLAS,Comuna 1,-34.60571,-58.3816512,0,0
METROBUS_000339,Metrobus,PERON,No informado,100|39|91,100:No informado|39:I|91:No informado,135 CERRITO,SAN NICOLAS,Comuna 1,-34.6070578,-58.3815296,0,0
METROBUS_000340,Metrobus,MITRE,No informado,59|126,59:I|126:I,21 CERRITO,SAN NICOLAS,Comuna 1,-34.6082339,-58.3814746,0,0
METROBUS_000341,Metrobus,No informado,No informado,8|86|159,8:I|86:I|159:V,920 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.618793,-58.368488,0,0
METROBUS_000342,Metrobus,No informado,No informado,195,195:V,950 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.618932,-58.368473,0,0
METROBUS_000343,Metrobus,No informado,No informado,33|129,33:I|129:I,921 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.61860406,-58.36909416,0,0
METROBUS_000344,Metrobus,No informado,No informado,195,195:I,951 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.618793,-58.369056,0,0
METROBUS_000345,Metrobus,No informado,No informado,143|62|29,143:V|62:I|29:I,1020 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.619681,-58.368401,0,0
